Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-07,183.0545196533203,153.34088134765625,269.81072998046875,396.74700927734375,196.6999969482422,172.2100067138672,278.9100036621094,419.42999267578125,203.5,173.1199951171875,289.69000244140625,432.29998779296875,193.6199951171875,167.36000061035156,278.5299987792969,419.3599853515625,194.7899932861328,168.3000030517578,288.5299987792969,431.54998779296875,6912300,11663400,43157200,137896600
2022-03-08,195.43186950683594,150.23324584960938,266.8505859375,393.7389831542969,210.0,168.72000122070312,275.8500061035156,416.25,214.88999938964844,173.1199951171875,283.9599914550781,427.2099914550781,203.0,168.50999450683594,270.0,415.1199951171875,203.8699951171875,172.0399932861328,277.79998779296875,419.6199951171875,9318600,11100300,48159500,164772700
2022-03-09,195.22708129882812,150.80313110351562,279.0879211425781,404.2954406738281,209.77999877929688,169.36000061035156,288.5,427.4100036621094,213.60000610351562,170.22999572753906,289.6000061035156,429.510009765625,207.4499969482422,167.88999938964844,280.7799987792969,422.82000732421875,212.57000732421875,170.00999450683594,283.44000244140625,425.1400146484375,4798300,7248200,35204500,116990800
2022-03-10,197.09768676757812,151.07028198242188,276.2727355957031,402.46978759765625,211.7899932861328,169.66000366210938,285.5899963378906,425.4800109863281,217.52000427246094,170.14999389648438,286.6000061035156,426.42999267578125,208.17999267578125,168.0800018310547,280.5799865722656,420.44000244140625,209.38999938964844,168.55999755859375,283.0199890136719,422.5199890136719,4886300,6171400,30628000,93972700
2022-03-11,199.92681884765625,150.79425048828125,270.9328918457031,397.3523254394531,214.8300018310547,169.35000610351562,280.07000732421875,420.07000732421875,217.77000427246094,171.4600067138672,289.510009765625,428.7699890136719,212.3000030517578,169.02000427246094,279.42999267578125,419.5299987792969,212.3000030517578,169.1300048828125,287.9599914550781,428.1199951171875,4045500,5188000,27209300,95636300
2022-03-14,200.49447631835938,152.87783813476562,267.4212951660156,394.4483642578125,215.44000244140625,171.69000244140625,276.44000244140625,417.0,218.47999572753906,174.1199951171875,285.3999938964844,424.54998779296875,212.92999267578125,170.35000610351562,275.82000732421875,415.7900085449219,216.3000030517578,170.67999267578125,280.3399963378906,420.8900146484375,3530700,7729500,30660700,95729200
2022-03-15,201.44374084472656,156.8402557373047,277.78192138671875,403.1224670410156,216.4600067138672,176.13999938964844,287.1499938964844,426.1700134277344,217.3800048828125,176.52000427246094,287.82000732421875,426.8399963378906,210.50999450683594,172.5500030517578,278.7300109863281,418.4200134277344,216.1199951171875,173.3300018310547,280.3500061035156,419.7699890136719,4364200,10554400,34245100,106219100
2022-03-16,201.090087890625,155.3977813720703,284.78564453125,412.0613708496094,216.0800018310547,174.52000427246094,294.3900146484375,435.6199951171875,219.49000549316406,176.9499969482422,294.57000732421875,435.67999267578125,212.32000732421875,172.55999755859375,283.20001220703125,424.79998779296875,217.5,175.4600067138672,289.1099853515625,429.8900146484375,4378700,9603300,37826300,144954800
2022-03-17,206.3201904296875,157.42794799804688,285.58868408203125,417.2166442871094,221.6999969482422,176.8000030517578,295.2200012207031,441.07000732421875,221.77999877929688,176.83999633789062,295.6099853515625,441.07000732421875,214.33999633789062,174.1999969482422,289.3699951171875,433.19000244140625,215.32000732421875,175.2100067138672,293.2900085449219,433.5899963378906,3600400,7472100,30816600,102676900
2022-03-18,205.5850372314453,155.6826934814453,290.6286315917969,421.7863464355469,220.91000366210938,174.83999633789062,300.42999267578125,444.5199890136719,221.6999969482422,177.0,301.0,444.8599853515625,218.0,173.66000366210938,292.7300109863281,437.2200012207031,219.47999572753906,177.0,295.3699951171875,438.0,4105100,13809500,43390600,106345500
